Allocation Row Number,CEC Forecast Years,Spatial ID,Output DER Types,Value
1,2017,91901,Solar PV,6.4136994
2,2017,91902,Solar PV,4.04230836
3,2017,91905,Solar PV,0.28528859
4,2017,91906,Solar PV,0.76073972
5,2017,91910,Solar PV,6.82753051
6,2017,91911,Solar PV,5.40821246
7,2017,91913,Solar PV,6.22083228
8,2017,91914,Solar PV,4.10826939
9,2017,91915,Solar PV,4.50990082
10,2017,91916,Solar PV,0.3600855
11,2017,91917,Solar PV,0.14749921
12,2017,91931,Solar PV,0.02482403
13,2017,91932,Solar PV,1.40538894
14,2017,91934,Solar PV,0.03413996
15,2017,91935,Solar PV,4.12047591
16,2017,91941,Solar PV,6.01049446
17,2017,91942,Solar PV,4.42481488
18,2017,91945,Solar PV,1.93875778
19,2017,91948,Solar PV,0.00082061
20,2017,91950,Solar PV,2.55205642
21,2017,91962,Solar PV,0.22171075
22,2017,91963,Solar PV,0.07797675
23,2017,91977,Solar PV,5.62639323
24,2017,91978,Solar PV,1.2293422
25,2017,91980,Solar PV,0.03453385
26,2017,92003,Solar PV,1.869541
27,2017,92004,Solar PV,2.07140948
28,2017,92007,Solar PV,1.04263989
29,2017,92008,Solar PV,2.79254264
30,2017,92009,Solar PV,10.44305654
31,2017,92010,Solar PV,1.93067002
32,2017,92011,Solar PV,2.89594041
33,2017,92014,Solar PV,2.86236735
34,2017,92019,Solar PV,9.85642351
35,2017,92020,Solar PV,7.6929796
36,2017,92021,Solar PV,9.05704485
37,2017,92024,Solar PV,9.12284312
38,2017,92025,Solar PV,7.53342363
39,2017,92026,Solar PV,8.27200014
40,2017,92027,Solar PV,9.15429286
41,2017,92028,Solar PV,14.78214951
42,2017,92029,Solar PV,6.56432922
43,2017,92036,Solar PV,0.4717119
44,2017,92037,Solar PV,7.47888066
45,2017,92040,Solar PV,9.91532663
46,2017,92054,Solar PV,3.17376422
47,2017,92055,Solar PV,1.29416122
48,2017,92056,Solar PV,5.75112266
49,2017,92057,Solar PV,5.34080306
50,2017,92058,Solar PV,1.73080382
51,2017,92059,Solar PV,0.62349194
52,2017,92060,Solar PV,0.03944518
53,2017,92061,Solar PV,1.9597653
54,2017,92064,Solar PV,17.54205663
55,2017,92065,Solar PV,12.64107943
56,2017,92066,Solar PV,0.04469296
57,2017,92067,Solar PV,5.5743155
58,2017,92068,Solar PV,0
59,2017,92069,Solar PV,6.8435508
60,2017,92070,Solar PV,0.11754571
61,2017,92071,Solar PV,10.24602006
62,2017,92072,Solar PV,0
63,2017,92075,Solar PV,1.59874158
64,2017,92078,Solar PV,6.24819403
65,2017,92081,Solar PV,5.21749807
66,2017,92082,Solar PV,9.16285794
67,2017,92083,Solar PV,2.70317723
68,2017,92084,Solar PV,6.3397696
69,2017,92085,Solar PV,0
70,2017,92086,Solar PV,0.27240302
71,2017,92091,Solar PV,0.23729406
72,2017,92092,Solar PV,0
73,2017,92093,Solar PV,0
74,2017,92096,Solar PV,0
75,2017,92101,Solar PV,1.54210196
76,2017,92102,Solar PV,1.49153551
77,2017,92103,Solar PV,2.18102882
78,2017,92104,Solar PV,1.88211953
79,2017,92105,Solar PV,2.53777787
80,2017,92106,Solar PV,3.55545628
81,2017,92107,Solar PV,1.47317786
82,2017,92108,Solar PV,2.36449452
83,2017,92109,Solar PV,2.46615397
84,2017,92110,Solar PV,3.97905397
85,2017,92111,Solar PV,5.48994964
86,2017,92112,Solar PV,0.00611625
87,2017,92113,Solar PV,2.46689867
88,2017,92114,Solar PV,4.40127373
89,2017,92115,Solar PV,4.54456118
90,2017,92116,Solar PV,1.79968483
91,2017,92117,Solar PV,4.79435991
92,2017,92118,Solar PV,2.55188409
93,2017,92119,Solar PV,3.66189166
94,2017,92120,Solar PV,6.20802877
95,2017,92121,Solar PV,4.00672003
96,2017,92122,Solar PV,2.90428187
97,2017,92123,Solar PV,6.82092052
98,2017,92124,Solar PV,2.89507125
99,2017,92126,Solar PV,7.02753143
100,2017,92127,Solar PV,11.79280153
101,2017,92128,Solar PV,5.45174836
102,2017,92129,Solar PV,7.32110336
103,2017,92130,Solar PV,9.21102754
104,2017,92131,Solar PV,9.10061905
105,2017,92132,Solar PV,0
106,2017,92136,Solar PV,0
107,2017,92139,Solar PV,2.31324423
108,2017,92145,Solar PV,0.01531115
109,2017,92152,Solar PV,0
110,2017,92154,Solar PV,6.98779015
111,2017,92158,Solar PV,0
112,2017,92161,Solar PV,0
113,2017,92173,Solar PV,1.79155262
114,2017,92179,Solar PV,0
115,2017,92182,Solar PV,0.03542284
116,2017,92199,Solar PV,0
117,2017,92536,Solar PV,0.03406611
118,2017,92624,Solar PV,0.29807501
119,2017,92629,Solar PV,1.13985234
120,2017,92651,Solar PV,0.24488057
121,2017,92653,Solar PV,3.75363956
122,2017,92656,Solar PV,0.27089584
123,2017,92672,Solar PV,3.99408475
124,2017,92673,Solar PV,5.04849555
125,2017,92674,Solar PV,0
126,2017,92675,Solar PV,4.37811212
127,2017,92676,Solar PV,0
128,2017,92677,Solar PV,3.61969129
129,2017,92679,Solar PV,2.80238034
130,2017,92688,Solar PV,1.09537548
131,2017,92690,Solar PV,0
132,2017,92691,Solar PV,2.58110999
133,2017,92692,Solar PV,2.00190002
134,2017,92693,Solar PV,0
135,2017,92694,Solar PV,4.3665231
136,2017,92697,Solar PV,0
137,2018,91901,Solar PV,7.16350724
138,2018,91902,Solar PV,4.53482503
139,2018,91905,Solar PV,0.39871671
140,2018,91906,Solar PV,0.84124184
141,2018,91910,Solar PV,8.09892923
142,2018,91911,Solar PV,6.42545719
143,2018,91913,Solar PV,7.28861479
144,2018,91914,Solar PV,5.00191366
145,2018,91915,Solar PV,4.85928805
146,2018,91916,Solar PV,0.42109287
147,2018,91917,Solar PV,0.17198747
148,2018,91931,Solar PV,0.02482403
149,2018,91932,Solar PV,1.55870104
150,2018,91934,Solar PV,0.04016598
151,2018,91935,Solar PV,4.55947792
152,2018,91941,Solar PV,6.80016454
153,2018,91942,Solar PV,5.37734066
154,2018,91945,Solar PV,2.29735222
155,2018,91948,Solar PV,0.00082061
156,2018,91950,Solar PV,3.04864278
157,2018,91962,Solar PV,0.28861045
158,2018,91963,Solar PV,0.10459469
159,2018,91977,Solar PV,7.29595574
160,2018,91978,Solar PV,1.47655723
161,2018,91980,Solar PV,0.03453385
162,2018,92003,Solar PV,2.118733
163,2018,92004,Solar PV,2.31990754
164,2018,92007,Solar PV,1.19152635
165,2018,92008,Solar PV,3.36036848
166,2018,92009,Solar PV,11.56875
167,2018,92010,Solar PV,2.44580721
168,2018,92011,Solar PV,3.4283666
169,2018,92014,Solar PV,3.14090038
170,2018,92019,Solar PV,12.1271878
171,2018,92020,Solar PV,9.3265724
172,2018,92021,Solar PV,10.91916926
173,2018,92024,Solar PV,10.24903762
174,2018,92025,Solar PV,8.4917624
175,2018,92026,Solar PV,9.66590215
176,2018,92027,Solar PV,10.60739481
177,2018,92028,Solar PV,16.79404561
178,2018,92029,Solar PV,7.68077634
179,2018,92036,Solar PV,0.57683706
180,2018,92037,Solar PV,8.3848764
181,2018,92040,Solar PV,11.32016774
182,2018,92054,Solar PV,3.60677662
183,2018,92055,Solar PV,1.29416122
184,2018,92056,Solar PV,7.52990937
185,2018,92057,Solar PV,6.29874297
186,2018,92058,Solar PV,1.92164687
187,2018,92059,Solar PV,0.7128274
188,2018,92060,Solar PV,0.04738079
189,2018,92061,Solar PV,2.15362273
190,2018,92064,Solar PV,20.7318224
191,2018,92065,Solar PV,14.69804866
192,2018,92066,Solar PV,0.05566956
193,2018,92067,Solar PV,6.36062615
194,2018,92068,Solar PV,0
195,2018,92069,Solar PV,7.8336597
196,2018,92070,Solar PV,0.13215509
197,2018,92071,Solar PV,12.59921509
198,2018,92072,Solar PV,0
199,2018,92075,Solar PV,2.03512158
200,2018,92078,Solar PV,7.3774855
201,2018,92081,Solar PV,5.8897073
202,2018,92082,Solar PV,10.36063754
203,2018,92083,Solar PV,3.31656909
204,2018,92084,Solar PV,7.71696026
205,2018,92085,Solar PV,0
206,2018,92086,Solar PV,0.32723656
207,2018,92091,Solar PV,0.25542863
208,2018,92092,Solar PV,0
209,2018,92093,Solar PV,0
210,2018,92096,Solar PV,0
211,2018,92101,Solar PV,2.2920799
212,2018,92102,Solar PV,1.7727123
213,2018,92103,Solar PV,2.43501218
214,2018,92104,Solar PV,2.12815587
215,2018,92105,Solar PV,3.23834562
216,2018,92106,Solar PV,3.98585047
217,2018,92107,Solar PV,1.70165404
218,2018,92108,Solar PV,2.87985071
219,2018,92109,Solar PV,2.73528199
220,2018,92110,Solar PV,4.3258094
221,2018,92111,Solar PV,6.59506531
222,2018,92112,Solar PV,0.00611625
223,2018,92113,Solar PV,2.71922405
224,2018,92114,Solar PV,5.63998557
225,2018,92115,Solar PV,5.33275424
226,2018,92116,Solar PV,2.0291696
227,2018,92117,Solar PV,5.48568187
228,2018,92118,Solar PV,2.83480689
229,2018,92119,Solar PV,4.29327081
230,2018,92120,Solar PV,6.73657981
231,2018,92121,Solar PV,4.41124349
232,2018,92122,Solar PV,3.29042405
233,2018,92123,Solar PV,7.81579144
234,2018,92124,Solar PV,3.47839606
235,2018,92126,Solar PV,8.02571016
236,2018,92127,Solar PV,13.29423062
237,2018,92128,Solar PV,6.49319334
238,2018,92129,Solar PV,8.61757018
